Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
MultiscaleRetinex,,マルチスケールレティネックス,Multiscale Retinex,多尺度Retinex,多尺度Retinex,멀티스케일 레티넥스,Retinex multiescala,ريتينكس متعدد المقاييس,Retinex Multiskala
BasicGroup,,基本,Basic,基本,基本,기본,Básico,أساسي,Dasar
ScaleGroup,,スケール,Scale,尺度,尺度,스케일,Escala,المقياس,Skala
AdjustGroup,,調整,Adjustment,调整,調整,조정,Ajuste,الضبط,Penyesuaian
Amount,,強さ,Amount,强度,強度,강도,Intensidad,الشدة,Intensitas
AmountDescription,,補正の合成量です,Blend amount of the correction over the source,校正与源图像的混合量,校正與源圖像的混合量,보정의 합성량입니다,Cantidad de mezcla de la corrección sobre la imagen,مقدار مزج التصحيح فوق الصورة,Jumlah pencampuran koreksi di atas citra
Quality,,品質,Quality,品质,品質,품질,Calidad,الجودة,Kualitas
QualityDescription,,サラウンドのスケール数と計算精度を選びます,Selects the number of surround scales and the precision,选择环绕尺度数与计算精度,選擇環繞尺度數與計算精度,서라운드 스케일 수와 계산 정밀도를 선택합니다,Selecciona el número de escalas del entorno y la precisión,يحدد عدد مقاييس المحيط ودقة الحساب,Memilih jumlah skala surround dan presisi perhitungan
Mode,,処理モード,Mode,处理模式,處理模式,처리 모드,Modo,وضع المعالجة,Mode
ModeDescription,,色恒常は各色を独立に補正し、彩度保持は輝度だけを補正します,Color constancy corrects each channel independently. Chromaticity corrects only the luminance,色恒常独立校正各通道。保持色度仅校正亮度,色恆常獨立校正各通道。保持色度僅校正亮度,색 항상성은 각 채널을 독립적으로 보정하고 채도 유지는 휘도만 보정합니다,Constancia de color corrige cada canal por separado. Cromaticidad corrige solo la luminancia,ثبات اللون يصحح كل قناة على حدة وحفظ اللون يصحح الإضاءة فقط,Konstansi warna mengoreksi tiap kanal secara terpisah. Kromatisitas hanya mengoreksi luminans
ModeColorConstancy,,色恒常,Color constancy,色恒常,色恆常,색 항상성,Constancia de color,ثبات اللون,Konstansi warna
